Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Printing,Rarity,Condition,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date
1,"Savior of the Sleeping","Savior of the Sleeping",Wilds of Eldraine,WOE,28,English,Normal,Common,Near Mint,513971,7404482,0.02,2023-11-01T22:21:33-08:00
1,"Leaping Ambush","Leaping Ambush",Wilds of Eldraine,WOE,177,English,Normal,Common,Near Mint,513984,7405147,0.03,2023-11-01T22:21:33-08:00
1,"Titanic Growth","Titanic Growth",Wilds of Eldraine,WOE,191,English,Normal,Common,Near Mint,513982,7405062,0.03,2023-11-01T22:21:33-08:00
1,"Toadstool Admirer","Toadstool Admirer",Wilds of Eldraine,WOE,192,English,Normal,Common,Near Mint,513911,7402692,0.01,2023-11-01T22:21:33-08:00
1,"Discerning Financier","Discerning Financier",Wilds of Eldraine,WOE,10,English,Normal,Uncommon,Near Mint,512635,7369315,0.08,2023-11-01T22:21:33-08:00
1,"Voracious Vermin","Voracious Vermin",Wilds of Eldraine,WOE,116,English,Normal,Common,Near Mint,512873,7375691,0.06,2023-11-01T22:21:33-08:00
1,"Leyline of Sanctity","Leyline of Sanctity",Wilds of Eldraine: Enchanting Tales,WOT,10,English,Normal,Rare,Near Mint,513062,7378301,1.62,2023-11-01T22:21:33-08:00
1,"Unassuming Sage","Unassuming Sage",Wilds of Eldraine,WOE,37,English,Normal,Common,Near Mint,514000,7405602,0.01,2023-11-01T22:21:33-08:00
1,"Warehouse Tabby","Warehouse Tabby",Wilds of Eldraine,WOE,117,English,Normal,Common,Near Mint,512383,7360987,0.05,2023-11-01T22:21:33-08:00
1,"Collector's Vault","Collector's Vault",Wilds of Eldraine,WOE,244,English,Normal,Uncommon,Near Mint,513354,7384669,0.37,2023-11-01T22:21:33-08:00
2,"Brave the Wilds","Brave the Wilds",Wilds of Eldraine,WOE,165,English,Normal,Common,Near Mint,512716,7373310,0.03,2023-11-01T22:21:33-08:00
1,"Stab Wound","Stab Wound",Wilds of Eldraine: Enchanting Tales,WOT,36,English,Normal,Uncommon,Near Mint,513565,7390724,0.02,2023-11-01T22:21:33-08:00
1,"Protective Parents","Protective Parents",Wilds of Eldraine,WOE,24,English,Normal,Common,Near Mint,513902,7402422,0.01,2023-11-01T22:21:33-08:00
1,"Ground Seal","Ground Seal",Wilds of Eldraine: Enchanting Tales,WOT,54,English,Normal,Uncommon,Near Mint,512611,7368577,0.03,2023-11-01T22:21:33-08:00
1,"Cheeky House-Mouse","Cheeky House-Mouse",Wilds of Eldraine,WOE,7,English,Normal,Uncommon,Near Mint,513299,7382564,0.04,2023-11-01T22:21:33-08:00
1,"Regal Bunnicorn","Regal Bunnicorn",Promo Pack: Wilds of Eldraine,PPWOE,25,English,Normal,Rare,Near Mint,514334,7413523,1.4,2023-11-01T22:21:33-08:00
1,"Utopia Sprawl","Utopia Sprawl",Wilds of Eldraine: Enchanting Tales,WOT,63,English,Normal,Uncommon,Near Mint,513067,7378476,0.55,2023-11-01T22:21:33-08:00
1,"Shrouded Shepherd","Shrouded Shepherd",Wilds of Eldraine,WOE,236,English,Normal,Uncommon,Near Mint,512718,7373400,0.03,2023-11-01T22:21:33-08:00
1,"Break the Spell","Break the Spell",Wilds of Eldraine,WOE,5,English,Normal,Common,Near Mint,512164,7355612,0.02,2023-11-01T22:21:33-08:00
1,"Return from the Wilds","Return from the Wilds",Wilds of Eldraine,WOE,181,English,Normal,Common,Near Mint,512351,7360077,0.06,2023-11-01T22:21:33-08:00
1,"Archon's Glory","Archon's Glory",Wilds of Eldraine,WOE,2,English,Normal,Common,Near Mint,513967,7404312,0.03,2023-11-01T22:21:33-08:00
1,"Cooped Up","Cooped Up",Wilds of Eldraine,WOE,8,English,Normal,Common,Near Mint,513905,7402512,0.02,2023-11-01T22:21:33-08:00
1,"Soul-Guide Lantern","Soul-Guide Lantern",Wilds of Eldraine,WOE,251,English,Normal,Uncommon,Near Mint,512722,7373575,0.06,2023-11-01T22:21:33-08:00
1,"Sugar Rush","Sugar Rush",Wilds of Eldraine,WOE,110,English,Normal,Common,Near Mint,513945,7403677,0.02,2023-11-01T22:21:33-08:00
3,"Swamp (0264)","Swamp",Wilds of Eldraine,WOE,264,English,Normal,Land,Near Mint,509491,7332242,0.88,2023-11-01T22:21:33-08:00
6,"Plains (0262)","Plains",Wilds of Eldraine,WOE,262,English,Normal,Land,Near Mint,509492,7332322,0.24,2023-11-01T22:21:33-08:00
7,"Forest (0266)","Forest",Wilds of Eldraine,WOE,266,English,Normal,Land,Near Mint,509495,7332487,0.48,2023-11-01T22:21:33-08:00
